연번,시설명,주소
274,샤인하우스,대전광역시 동구 신기로 100 607동 104호
275,푸마네,대전광역시 중구 계백로 1603번길 50-8 401호
276,대전해피홈,대전광역시 중구 대종로593번길38-6 
277,행복한우리집,대전광역시 중구  안영로22번길 14 신도빌 401호
278,즐겁고행복한집,대전광역시 중구 대전천서로 401 401호
279,마르지않는샘,대전광역시 서구 도림4길 66 (도마동) 1층
280,이삭의집여자,"대전광역시 유성구 진잠로124번길 5-10 202,401,402호"
281,이삭의집남자,"대전광역시 유성구 진잠로160번길 31-9 401,402호"
282,애뜰,대전광역시 유성구 배울2로 24. 303동 502호
283,햇살가득한집,대전광역시 유성구 진잠로106번길 5-12  두리빌402호
284,열매마을의집,대전광역시 유성구 노은로 416 504동 1204호
285,밝은내일의집,대전광역시 대덕구 대전로1033번길 64-5 403호
286,대전자혜원,"대전광역시 동구 미래길16 (소제동219-189,2동,4층)"
287,평화의마을 아동복지쎈터,대전광역시 동구 가양로 85 가양동
288,성심원,대전광역시 동구  산내로386번길 8-26 하소동
289,늘사랑아동센터,대전광역시 중구 학고개로34번길 33 
290,구세군대전혜생원,대전광역시 서구 오량4길 61 (복수동) 구세군대전혜생원
291,후생학원,대전광역시 서구 정림서로138번길 65-5 (정림동) 후생학원
292,정림원,대전광역시 서구 정림동로30번길 15 (정림동) 정림원
293,돈보스코의집,대전광역시 서구 구봉로 458-1 (정림동) 돈보스코의집
294,시온보육원,대전광역시 서구 도솔로267번길 8 (내동) C동
295,천양원,대전광역시 유성구 현충원로 473 
296,성우보육원,대전광역시 대덕구 신탄진로 101 -
297,효광원,대전광역시 동구 산내로 1305번길 48 산내동
298,인애자립생활관,대전광역시 유성구 신성남로 97 
299,요셉의집,울산광역시 남구 대암로 82 202동 202호
300,행복하우스,울산광역시 남구 거마로 22 102동 101호
301,일곱빛 공동생활가정,울산광역시 남구 어은로 18번길 4-1 1층
302,희망둥지 은총의집,울산광역시 남구 꽃대나리로 46번길 24 103동 405호
303,어울림,울산시 동구 방어진순환도로631 1303호(일산동)
304,겨자씨,울산시  북구 덕곡길 12-1 (천곡동) 
305,온유와감사의집,"울산시  북구 약수9길 20 (중산동, 약수제일아파트) 나동 1105호 "
306,그루터기,울산 울주군 웅촌면 대복2길 17 1층
307,울산양육원,울산시 울주군 내곡능골길 129-18 
308,울산일시보호시설,울산시 울주군 언양읍 내곡능골길 129-18 D동 2층
309,울산자립생활관,울산시 울주군 언양읍 능골길39 울산자립생활관
310,영명보육원,세종시 세종시 연서면 월성로 239 영명보육원
311,YM그룹홈,"경기도 수원시 장안구 장안로 211 207동 101호(정자동, 동신아파트)"
312,꿈나무의집,경기도 수원시 권선구 고산로 9 (고색동)
313,나섬의집,"경기도 수원시 팔달구 정자천로32번길 20 167동 101호(화서동, 꽃뫼버들마을엘지아파트)"
314,샬롬하우스,"경기도 수원시 권선구 고산로6번길 45 101동 306호(고색동, 대원아파트)"
315,수원나르샤,경기도 수원시 팔달구 화양로 38번길 54 301호(화서동)
316,수원희망의집,"경기도 수원시 팔달구 화양로50번길 30 119동 104호(화서동, 블루밍 푸른숲 아파트)"
317,엘림그룹홈,"경기도 수원시 권선구 동수원로145번길 24 205동 102호(권선동, 수원아이파크시티)"
318,행복한집,"경기도 수원시 장안구 정자천로188번길 71-21 101동 908호(정자동, 현대아파트) "
319,희망넝쿨,"경기도 수원시 장안구 상률로 32 102동 201호(율천동, 밤꽃마을 뜨란채)"
320,국가대표,경기도 처인구 모현읍 곡현로661번길 5 A동 101호
321,로그인,경기도 기흥구 공세로 76 101동 1004호
322,맑은누리,경기도 기흥구 사은로 126번길 10 112동 203호
323,미래와희망,경기도 처인구 양지면 용곡로 19번길 13 B동 203호
324,안다미로,경기도 처인구 양지면 양지로 179번길 63-4 A동 302
325,이레,경기도 처인구 이동읍 경기동로 705번길 28 102동 1602호
326,하희의 집 ,경기도 기흥구 중부대로773번길 6-4 A동
327,하희의 집 B,경기도 처인구 중부대로773번길 6-4 B동
328,해피드림,경기도 처인구 금어로 102 202동 1401호
329,희망둥지,경기도 처인구 금학로 253번길 3-18 2층
330,비전공동체 우리집,경기도 고양시 공릉천로68  101동 103호 
331,사랑공동체사랑의집,경기도 구리시 탄중로101번길 36 102동 103호
332,앤하우스 그룹홈,경기도 남양주시 무궁화로 187번길 8-10 2층
333,일산별사랑그룹홈,경기도 파주시 일산로372번길 58-29 2층
334,햇살고운집,경기도 양주시 보광로222-15 
335,다정한우리집,경기도 성남시 자혜로17번길16 은행동 현대아파트 101-903호
336,민들레그룹홈,경기도 성남시 자혜로17번길 16 109-104
337,봄이네집,경기도 성남시 은이로5번길 21 301호
338,새날우리집,경기도 성남시 마지로 51 A동 301호
339,안나의집,경기도 성남시 중원구 산성대로80번길 12-4 
340,우리집그룹홈,경기도 안산시 수정로 111번길 26  301호
341,은행골우리집,"경기도 성남시 희망로 415,  101동 1401호"
342,작은사랑의집,경기도 성남시 중원구 원터로 93번길17     B01. 1F
343,즐거운우리집,경기도 성남시 자혜로17번길16. 107동401호
344,그린힐스,경기도 화성시 주석로690번길 52-12 -
345,무지개홈,경기도 화성시 자청로207번길 36 -
346,보람둥지,경기도 화성시 봉담읍 효행로 240 109동 101호
347,보물섬그룹홈,경기도 화성시 병점2로 102 201동 106호
348,봄볕그룹홈,경기도 화성시 병점2로 103 507동 104호
349,에덴하우스,경기도 화성시 영통로27번길 35 308동 404호
350,천사의 집,경기도 화성시 향남읍 행정동로 64 1402동 103호
351,파랑새그룹홈,경기도 화성시 안녕남로 16-20 103동 106호
352,행복둥지,경기도 화성시 한신대길 67 105동 103호
353,화성우리집,경기도 화성시 향남읍 행정동로 64 1414동 301호
354,화성의집,경기도 화성시 동탄지성로 319-19 106동 101호
355,화성희망,경기도 화성시 효행로291번길 26 105동 104호
356,맑은샘우리집,경기도 부천시 성곡로33번길 43 1층
357,부천우리집,경기도 부천시 원종로119번길 66 102동 101호
358,살레시오여월동나눔의집,경기도 부천시 성곡로 57번길 12 1층
359,엘림하우스,경기도 부천시 안곡로 194번길 14 엘림동 1층
360,우리가족,경기도 부천시 안곡로4 208동 103호
361,푸스펜의집,경기도 부천시 길주로 391번길 41-1 . 2층
362,노아의 집,경기도 남양주시 양지로 281번길 16 쌍용 스윗닷홈 101동 506호
363,로뎀의집,경기도 남양주시 금강로1530-14 진접 하우스토리아파트 103동 401호
364,마석그룹홈,경기도 남양주시 수레로1233번길 8 창현두산아파트 105동 1302호
365,채움사랑의집,경기도 남양주시 의안로240번길 16 세종리젠시빌 104동 102호
366,평강꿈나무집,경기도 남양주시 진건오남로100 한신그린아파트 1동 206호
367,평강사랑의집,경기도 남양주시 진건오남로105번길16 세아아파트 102동 1907호
368,한울,경기도 남양주시 봉현로36번길 11-1 삼신아파트 102동 601호
369,환희의신비,경기도 남양주시 수동면 입석1길 18 단독
370, 나르샤,경기도 안산시 후곡로36 401402304
371,가온바람,경기도 안산시 충장로6길 22-3 401호
372,기쁨의집,경기도 안산시 한양대학1길 59-5 401호
373,라온아띠,경기도 안산시 도매시장로 3길 13  301호
374,미라클,경기도 안산시 시낭북로1길1 302호
375,바라봄,경기도 안산시 삼리로 24 106동 202호
376,보금자리,경기도 안산시 석호공원로1길10 3층
377,빅사랑,경기도 안산시 상록구 이화3길 9 401호
378,상록수마을1호가정,경기도 안산시 충장로1길 44 401호
379,상록수마을2호가정,경기도 안산시 이호로7길 13 101호
380,상록수마을3호가정,경기도 안산시 충장로1길 12 302호
381,상록수마을4호가정,경기도 안산시 본이로1안길 9-1 101호
382,새밭토끼풀가정,경기도 안산시 화정천동로 2길56 401호(반지하 포함 4층)
383,성산의집,경기도 안산시 선삼로6길 11 301호
384,스마일하우스2호,경기도 안산시 와동공원로5길 23-10 302호
385,아모LED코스모스,경기도 안산시 와동공원로8길 60-1 402호
386,아모센스참나리가정,"경기도 안산시 와동공원로9안길 34 4층, 401호"
387,아모텍진달래가정,경기도 안산시 사세충열로3길 12-10 501호
388,야긴새벽이슬가정,경기도 안산시 우목골길 18-1 301호
389,에벤에셀,경기도 안산시 시낭안길 14-1 401호
390,옹달샘,경기도 안산시 선이로 6 1401호
391,요셉의집,경기도 안산시 선부광장북로 67 235동 4층
392,우리집2,"경기도 안산시 막고지1길 5 201호,301호(본오동)"
393,우리집3,경기도 안산시 막고지1길 5 401호(본오동)
394,이레,경기도 안산시 상록구해양1로30 713동104호
395,인애해바라기가정,경기도 안산시 화정천동로 5안길 41 402호
396,평강의집,경기도 안산시 오목로7길9-1 401호
397,한신예수가정,경기도 안산시 사세충열로4길3 301호
398,함박스마일,경기도 안산시 화정천동로5안길36 301호
399,함박웃음,경기도 안산시 평화안길31 301호
400,함박웃음2호,경기도 안산시 강서길29 401호
401,해피엔젤,"경기도 안산시 선부로 106 선부동,402호"
402,해피하우스푸른초장,경기도 안산시 선부로166 128동205호
403,기쁨해집,경기도 평택시 평택4로 124 103동 204호
404,스마일하우스 새날,경기도 평택시 평택4로 123 102동 802호
405,해피프렌드,"경기도 안양시 병목안로 220, 103 907호"
406,행복한그룹홈,경기도 시흥시 호현로21번길 25-1 2층
407,가온길,경기도 김포시 수기로 8 107동 404호
408,그룹홈 소풍,경기도 김포시 중봉1로 48-7 1층
409,다움,경기도 김포시 청송로20 210동 1603호
410,드리머,경기도 김포시 청송로19 310동204호
411,은빛마을,경기도 김포시 용강로 27번길 28 1층
412,하온 그룹홈,경기도 김포시 김포대로 2282 204동 902호
413,모듬살이 ,경기도 파주시  운정2길 50 
414,성보나,경기도 파주시 와석순환로307 1110동802호
415,에셀나무,경기도 파주시 청석로 300 대원효성@ 919-106호
416,사)청소년문화공동체 십대지기 꿈터,경기도 의정부시 녹양로71-7(녹양동 청구아파트) 101동 1205호
417,사)청소년문화공동체십대지기 사랑의집,경기도 의정부시 녹양로 71-7 101동 903호
418,사랑의집 진새골,경기도 광주시 초월읍 진새골길 171-15 1층 101호
419,참나무그룹홈,경기도  광주시 행정타운로 67 
420,토리네집,경기도  광주시 고불로 33 106동 103호
421,광명아동그룹홈,경기도 광명시 도덕로56 105동702호
422,꿈둥지,"경기도 광명시 도덕로56,중앙하이츠 105-705"
423,사랑둥지,경기도 광명시 덕단이로115 201-602
424,살레시오광명나눔의집,경기도 광명시 목감로88 102동 202호
425,예광공동체,경기도 광명시 오리로1034-3 단독
